id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
892	Vasar_2021_1HW	WANDA/AML2	-23.2975	64.8506	Europe	soil	212382	grassland	3.5	1306	4.4	2011	NA_	SSU	Illumina	28
893	Vasar_2021_1HW	WANDA/AML2	75.4217	41.9128	Asia	soil	21391	grassland	-3.7	436	5.6	2015	NA_	SSU	Illumina	75
907	Rasmussen_2018_C8E6	NS31/AML2	19.9281	60.3465	Europe	root	44040	grassland	6.2	552	NA_	2015	Plantago lanceolata	SSU	Illumina	1
922	Vasar_2021_1HW	WANDA/AML2	103.347	35.4736	Asia	soil	124361	grassland	5.8	667	7.5	2014	NA_	SSU	Illumina	84
949	Vasar_2021_1HW	WANDA/AML2	-81.3167	43.1933	North America	soil	60738	grassland	7.9	1001	6.76	2018	NA_	SSU	Illumina	65
1049	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1895	-26.0018	Africa	soil	92193	grassland	16	775	4.16	2017	Eragostis tef	SSU	Illumina	415
1087	Xiang_2014_BD5B	AML1/AML2 then NS31/AM1	111.103	39.7674	Asia	soil	1101	cropland	8.3	353	8.29	2010	Zea mays	SSU	454Roche	3
1129	Vasar_2021_1HW	WANDA/AML2	-100.913	25.2464	North America	soil	48007	forest	13.2	491	6.24	2016	NA_	SSU	Illumina	1
1140	Vasar_2021_1HW	WANDA/AML2	106.859	53.0286	Asia	soil	108093	grassland	-0.2	251	7.11	2018	NA_	SSU	Illumina	90
1148	Vasar_2021_1HW	WANDA/AML2	23.9175	63.4114	Europe	soil	26562	grassland	3.5	524	4.59	2018	NA_	SSU	Illumina	8
1152	Rasmussen_2018_C8E6	NS31/AML2	19.5405	60.218	Europe	root	60532	grassland	6.3	522	5.8	2015	Plantago lanceolata	SSU	Illumina	30
1160	Vasar_2021_1HW	WANDA/AML2	24.9281	35.1811	Europe	soil	39285	shrubland	10.6	811	6.91	2014	NA_	SSU	Illumina	72
1161	Vasar_2021_1HW	WANDA/AML2	56.0978	53.555	Europe	soil	129826	grassland	3.9	619	6.07	2018	NA_	SSU	Illumina	32
1164	Rasmussen_2018_C8E6	NS31/AML2	19.5941	60.2355	Europe	root	60017	grassland	6.3	523	7.1	2015	Plantago lanceolata	SSU	Illumina	14
1188	Vasar_2021_1HW	WANDA/AML2	33.5397	44.5694	Europe	soil	82944	grassland	12.2	521	6.91	2018	NA_	SSU	Illumina	55
1198	Vasar_2021_1HW	WANDA/AML2	-3.51333	40.2711	Europe	soil	123833	shrubland	15.2	464	7.11	2018	NA_	SSU	Illumina	913
1212	Rasmussen_2018_C8E6	NS31/AML2	19.9242	60.3448	Europe	root	37157	grassland	6.1	569	6.4	2015	Plantago lanceolata	SSU	Illumina	2
1216	Vasar_2021_1HW	WANDA/AML2	-16.2247	28.5403	Europe	soil	15339	forest	16.2	544	4.09	2017	NA_	SSU	Illumina	25
