id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
664	Bouffaud_2016_CC48	SSUmCf/LSUmBr then ITS3m/ITS4	8.09	45.63	Europe	soil	8711	grassland	9.9	866	5.2	2012	NA_	ITS2	454Roche	20
7797	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32221	50.8746	Europe	soil	33311	cropland	10.4	660	7.8	2016	Medicago sativa	LSU	Illumina	5
7831	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.25678	50.8621	Europe	soil	23408	cropland	9.9	743	7.6	2016	Triticum aestivum 	LSU	Illumina	269
7832	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.2569	50.8627	Europe	soil	14181	cropland	9.9	743	7.7	2016	Triticum aestivum 	LSU	Illumina	1
7833	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.3176	50.8646	Europe	soil	35738	cropland	10.2	686	7.8	2016	Hordeum vulgare 	LSU	Illumina	628
7852	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31653	50.883	Europe	soil	24492	cropland	10.3	659	7.6	2016	Triticum aestivum 	LSU	Illumina	2
7853	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31552	50.8709	Europe	soil	17193	cropland	10.2	676	7.8	2016	Hordeum vulgare 	LSU	Illumina	197
7854	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31557	50.8721	Europe	soil	26628	cropland	10.2	676	7.9	2016	Hordeum vulgare 	LSU	Illumina	8
7857	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.3163	50.8708	Europe	soil	28111	cropland	10.2	676	7.9	2016	Hordeum vulgare 	LSU	Illumina	1
7870	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31586	50.8834	Europe	soil	14656	cropland	10.2	657	7.6	2016	Triticum aestivum 	LSU	Illumina	99
7906	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31686	50.8655	Europe	soil	39400	cropland	10.2	686	7.8	2016	Hordeum vulgare 	LSU	Illumina	1
7908	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31925	50.8651	Europe	soil	48894	cropland	10.2	686	7.8	2016	Hordeum vulgare 	LSU	Illumina	1
7928	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.25446	50.8627	Europe	soil	10890	cropland	9.9	743	7.7	2016	Triticum aestivum 	LSU	Illumina	1
7986	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.24823	50.868	Europe	soil	5150	cropland	9.9	752	7.6	2016	Triticum aestivum 	LSU	Illumina	1
7988	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.26409	50.8431	Europe	soil	9166	cropland	9.8	770	7.6	2016	Triticum aestivum 	LSU	Illumina	253
7996	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31426	50.8828	Europe	soil	28132	cropland	10.3	659	7.6	2016	Triticum aestivum 	LSU	Illumina	1
8031	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.26421	50.8426	Europe	soil	3349	cropland	9.8	770	7.5	2016	Triticum aestivum 	LSU	Illumina	2
8069	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.24784	50.8687	Europe	soil	14618	cropland	9.9	752	7.8	2016	Triticum aestivum 	LSU	Illumina	87
8085	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.24821	50.8689	Europe	soil	10722	cropland	9.9	752	7.7	2016	Triticum aestivum 	LSU	Illumina	804
