id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
41	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3697	50.1393	Europe	topsoil	18207	grassland	8.9	464	7.09	2018	Conyza canadensis	ITS2	Illumina	1
893	Vasar_2021_1HW	WANDA/AML2	75.4217	41.9128	Asia	soil	21391	grassland	-3.7	436	5.6	2015	NA_	SSU	Illumina	94
907	Rasmussen_2018_C8E6	NS31/AML2	19.9281	60.3465	Europe	root	44040	grassland	6.2	552	NA_	2015	Plantago lanceolata	SSU	Illumina	3
949	Vasar_2021_1HW	WANDA/AML2	-81.3167	43.1933	North America	soil	60738	grassland	7.9	1001	6.76	2018	NA_	SSU	Illumina	197
964	Stover_2018_1DI	NS31/AML2	-113.876	49.0857	North America	root	19847	grassland	4.8	613	6.6	2011	Galium boreale;Arenaria capillaris;Danthonia paryii;Festuca idahoensis;Festuca campestris;Stipa richardsonii;Carex stenophylla;Monarda fistulosa;Balsamorrhiza sagitata;Rosa woodsii	SSU	454Roche	11
965	Stover_2018_1DI	NS31/AML2	-113.831	49.1145	North America	root	16786	grassland	5.1	638	7.2	2011	Agropyron dasystachum;Arenaria capillaris;Festuca campestris;Solidago missouriensis;Androsace septentrionalis;Festuca idahoensis;Selaginella densa;Danthonia paryii;Carex stenophylla;Lupinus sericeus	SSU	454Roche	2
967	Stover_2018_1DI	NS31/AML2	-113.876	49.0857	North America	root	27410	grassland	4.8	613	6.6	2011	Galium boreale;Danthonia paryii;Achillea millefolium;Festuca idahoensis;Poa pratensis;Antennaria sp.;Anemone multifida;Festuca campestris;Hieracium scouleri;Stipa richardsonii	SSU	454Roche	2
982	Hassan_2014_0837	NS1/NS41 then AML1/AML2	-73.37	45.72	North America	rhizosphere soil	3315	grassland	7.2	1020	5.4	2011	Salix caprea	SSU	454Roche	1
989	Vasar_2021_1HW	WANDA/AML2	76.8012	11.4023	Asia	soil	146486	forest	16	1244	NA_	2020	NA_	SSU	Illumina	22
993	Fan_2020_1GN	AMV4.5NF/AMDGR	115.042	36.2301	Asia	soil	45750	cropland	14.7	532	8.56	2015	Triticum aestivum 	SSU	Illumina	5
1002	Fan_2020_1GN	AMV4.5NF/AMDGR	115	36.2537	Asia	rhizosphere soil	55490	cropland	14.7	528	7.91	2015	Triticum aestivum 	SSU	Illumina	1
1048	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.2006	-26.0079	Africa	soil	98383	grassland	16.1	738	4.03	2017	Eragostis tef	SSU	Illumina	1
