id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
888	Vasar_2021_1HW	WANDA/AML2	-48.8525	-15.81	South America	soil	146654	grassland	21	1926	3.36	2016	NA_	SSU	Illumina	359
922	Vasar_2021_1HW	WANDA/AML2	103.347	35.4736	Asia	soil	124361	grassland	5.8	667	7.5	2014	NA_	SSU	Illumina	17
989	Vasar_2021_1HW	WANDA/AML2	76.8012	11.4023	Asia	soil	146486	forest	16	1244	NA_	2020	NA_	SSU	Illumina	164
1050	Vasar_2021_1HW	WANDA/AML2	-47.5569	-14.7919	South America	soil	105818	grassland	22	1364	3.61	2016	NA_	SSU	Illumina	30
1177	Vasar_2021_1HW	WANDA/AML2	-47.4783	-13.6367	South America	soil	44667	shrubland	21.3	1964	3.97	2016	NA_	SSU	Illumina	45
1216	Vasar_2021_1HW	WANDA/AML2	-16.2247	28.5403	Europe	soil	15339	forest	16.2	544	4.09	2017	NA_	SSU	Illumina	5
1244	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1899	-26.0029	Africa	soil	105851	grassland	16	775	4.16	2017	Eragostis tef	SSU	Illumina	1
1259	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.192	-26.0017	Africa	soil	105322	grassland	16	757	4.16	2017	Eragostis tef	SSU	Illumina	2
1263	Liu_2021_1IJ	AML1/AML2 then AMV4.5NF/AMDGR	115.71	29.28	Asia	soil	24801	grassland	17.8	1730	6	2018	Eremochloa ophiuroides	SSU	Illumina	4
1295	Vasar_2021_1HW	WANDA/AML2	-44.6706	-22.3981	South America	soil	66370	shrubland	10.9	1838	3.5	2018	NA_	SSU	Illumina	42
