id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
81	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.6514	50.5714	Europe	root	18292	grassland	8.7	580	6.42	2018	Daucus carota	ITS2	Illumina	1
84	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7357	Europe	root	18410	grassland	9.1	585	7.51	2018	Artemisia vulgaris	ITS2	Illumina	2
113	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.2897	50.115	Europe	root	20181	grassland	8.5	509	6.33	2018	Achillea millefolium	ITS2	Illumina	41
154	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7357	Europe	root	23377	grassland	9.1	585	7.51	2018	Artemisia vulgaris	ITS2	Illumina	6
156	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.8917	50.2486	Europe	root	12901	grassland	9.2	588	7.38	2018	Daucus carota	ITS2	Illumina	1
165	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7354	Europe	root	15737	grassland	9.1	585	7.41	2018	Artemisia vulgaris	ITS2	Illumina	212
211	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.6514	50.5714	Europe	root	19950	grassland	8.7	580	6.42	2018	Daucus carota	ITS2	Illumina	269
347	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7354	Europe	root	17760	grassland	9.1	585	7.41	2018	Artemisia vulgaris	ITS2	Illumina	1
417	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.6792	50.21	Europe	root	17411	grassland	9.4	558	4.93	2018	Solidago canadensis	ITS2	Illumina	4
531	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7357	Europe	root	19199	grassland	9.1	585	7.51	2018	Artemisia vulgaris	ITS2	Illumina	32
654	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7354	Europe	root	11466	grassland	9.1	585	7.41	2018	Conyza canadensis	ITS2	Illumina	2502
884	Rincon_2021_1GU	AML1/AML2 then NS31/AM1	-5.86022	6.13511	Africa	soil	616023	cropland	25.2	1309	7.3	2012	Theobroma cacao	SSU	Illumina	1
888	Vasar_2021_1HW	WANDA/AML2	-48.8525	-15.81	South America	soil	146654	grassland	21	1926	3.36	2016	NA_	SSU	Illumina	1
890	Rincon_2021_1GU	AML1/AML2 then NS31/AM1	-6.6529	5.59485	Africa	soil	502723	cropland	25.3	1337	7.6	2012	Theobroma cacao	SSU	Illumina	4
916	Higo_2019_1ER	NS31/AM1 then AMV4.5NF/AMDGR	139.466	35.3802	Asia	root	38292	cropland	15.9	1589	5.43	2017	Zea mays	SSU	Illumina	14
917	Higo_2019_1ER	NS31/AM1 then AMV4.5NF/AMDGR	139.466	35.3802	Asia	root	50451	cropland	15.9	1589	5.78	2017	Glycine max	SSU	Illumina	17
923	Rincon_2021_1GU	AML1/AML2 then NS31/AM1	-6.50257	6.1304	Africa	soil	302263	cropland	25.3	1428	7	2012	Theobroma cacao	SSU	Illumina	2
925	Rincon_2021_1GU	AML1/AML2 then NS31/AM1	-6.54391	5.02081	Africa	soil	475347	cropland	25.7	1455	5.2	2012	Theobroma cacao	SSU	Illumina	1
940	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1859	-25.9993	Africa	root	33914	grassland	16	778	4.39	2017	Eragostis tef	SSU	Illumina	278
946	Higo_2020_1ES	NS31/AM1 then AMV4.5NF/AMDGR	139.466	35.3802	Asia	root	24323	cropland	15.9	1589	5.2	2017	Zea mays	SSU	Illumina	266
980	Rincon_2021_1GU	AML1/AML2 then NS31/AM1	-6.53074	5.01361	Africa	soil	496061	cropland	25.8	1400	6.1	2012	Theobroma cacao	SSU	Illumina	1
